,food_name,quantity,calories,type,core,carbohydrates(g),fat(g),protein(g)
66,Coffee With Skim Milk,1 coffee cup (180 ml),5,Vegetarian,Coffee,0.85,0.02,0.34
67,Instant Coffee,100 ml,0,Vegetarian,Coffee,0.0,0.0,0.0
68,Gold Blend,1 cup (200 ml),2,Vegetarian,Coffee,0.09,0.05,0.28
69,Americano Coffee,1 mug (240 ml),2,Vegetarian,Coffee,0.09,0.05,0.28
70,Decaffeinated Coffee,1 mug (240 ml),2,Vegetarian,Coffee,0.24,0.0,0.24
71,Coffee With Whitener And Low Calorie Sweetener (dry Instant Powder),"1 tsp, dry",9,Vegetarian,Coffee,1.02,0.49,0.03
72,Coffee,1 mug (240 ml),2,Vegetarian,Coffee,0.09,0.05,0.28
73,Coffee With Milk And Sugar,1 coffee cup (180 ml),30,Vegetarian,Coffee,7.14,0.14,0.31
74,Coffee With Cream,1 coffee cup (180 ml),26,Vegetarian,Coffee,2.91,1.47,0.39
75,Instant Coffee (made From Powdered),1 mug (240 ml),5,Vegetarian,Coffee,0.9,0.0,0.26
76,Espresso Coffee,1 espresso cup (60 ml),1,Vegetarian,Coffee,0.0,0.11,0.07
77,Cremora Coffee Creamer,1 serving (8 g),43,Vegetarian,Coffee,4.7,1.5,0.1
78,Cappuccino,1 mug (240 ml),74,Vegetarian,Coffee,5.81,3.98,4.08
79,Instant Coffee With Whitener And Low Calorie Sweetener (powdered Mix),1 coffee cup (180 ml),30,Vegetarian,Coffee,8.59,1.59,1.07
80,Instant Cappuccino,1 sachet (18 g),74,Vegetarian,Coffee,12.0,2.1,2.1
81,Mild 3 In 1 Coffee,1 sachet (25 g),110,Vegetarian,Coffee,21.0,2.6,0.5
82,Iced Coffee,1 coffee cup (180 ml),4,Vegetarian,Coffee,0.67,0.01,0.19
83,Hazelnut Latte,1 serving,213,Vegetarian,Coffee,28.0,0.3,7.4
84,Salted Caramel Cappucino,1 sachet (18 g),79,Vegetarian,Coffee,13.0,2.1,1.5
85,Ricoffy,1 serving (2.7 g),10,Vegetarian,Coffee,2.0,0.0,0.2
86,Skinny Cafe Latte,1 cup (250 ml),77,Vegetarian,Coffee,10.0,0.3,8.3
87,Creamy Coffee Candy With Cocoa Filling,1 serving (4.2 g),13,Vegetarian,Coffee,3.3,0.6,0.1
88,Coffee And Cocoa (mocha) Powder (with Whitener And Low Calorie Sweetener),1 tsp dry,16,Vegetarian,Coffee,4.57,0.85,0.58
89,Iced Coffee With Cream,1 coffee cup (180 ml),26,Vegetarian,Coffee,2.91,1.47,0.39
90,Decaffeinated Espresso Coffee,1 coffee cup (180 ml),0,Vegetarian,Coffee,0.0,0.32,0.18
91,Regular Coffee,1 mug (240 ml),2,Vegetarian,Coffee,0.09,0.05,0.28
92,Vanilla Latte Instant,1 sachet (21.5 g),88,Vegetarian,Coffee,14.0,2.3,2.7
93,Frappuccino,1 medium,293,Vegetarian,Coffee,42.85,9.57,9.42
94,Coffee With Sugar,1 coffee cup (180 ml),29,Vegetarian,Coffee,7.12,0.01,0.19
95,Friscochino,1 sachet (19 g),78,Vegetarian,Coffee,14.0,2.4,1.0
96,"Instant Coffee (powder, Half The Caffeine)",1 tsp dry,3,Vegetarian,Coffee,0.64,0.0,0.13
97,Decaffeinated Latte Coffee,1 medium,131,Vegetarian,Coffee,12.36,5.51,8.77
98,"Coffee And Cocoa (mocha) (powder, Decaffeinated, With Whitener And Low Calorie Sweetener)",1 tsp dry,16,Vegetarian,Coffee,4.57,0.85,0.58
99,Instant Mocha,1 serving (18 g),75,Vegetarian,Coffee,13.5,1.4,1.9
100,"Coffee (espresso Brewed, Decaffeinated)",100 g,0,Vegetarian,Coffee,0.0,0.18,0.1
101,"Instant Coffee (dry Powder, With Whitener And Sugar)","1 tsp, dry",15,Vegetarian,Coffee,2.58,0.48,0.13
102,Coffee Frappuccino (grande),1 serving (473 ml),240,Vegetarian,Coffee,50.0,3.0,3.0
103,Low Fat Cappuccino Flavoured Milk,1 serving (250 ml),120,Vegetarian,Coffee,18.0,2.3,7.5
104,Mocha Coffee,1 medium,394,Vegetarian,Coffee,66.97,9.14,10.94
105,Decaffeinated Coffee (made From Ground),1 mug (240 ml),0,Vegetarian,Coffee,0.0,0.0,0.24
106,Pre Lightened Presweetened Coffee With Sugar,1 vending machine cup,50,Vegetarian,Coffee,9.13,1.42,0.37
107,Irish Coffee,1 mug (240 ml),205,Vegetarian,Coffee,4.71,10.43,0.74
108,Presweetened With Sugar Coffee,1 mug (240 ml),38,Vegetarian,Coffee,9.53,0.0,0.26
109,Coconut Cream,1 serving (150 ml),205,Vegetarian,Coffee,2.0,21.3,1.6
110,Keto Coffee,1 cup,251,Vegetarian,Coffee,0.63,27.53,0.62
111,Flat White,1 coffee cup (180 ml),58,Vegetarian,Coffee,4.35,3.15,3.2
112,Nonfat Latte Coffee,1 medium,94,Vegetarian,Coffee,12.65,0.73,9.06
113,Chococino,1 pod (240 ml),151,Vegetarian,Coffee,19.8,5.4,4.9
114,Toffee Coffee Flavoured Instant Pudding,1 serving (10 g),28,Vegetarian,Coffee,7.0,0.2,0.0
115,"Coffee Substitute (cereal Grain Powder, With Whole Milk)",100 g,65,Vegetarian,Coffee,5.6,2.06,3.3
116,Latte Coffee,1 medium,135,Vegetarian,Coffee,12.36,5.51,8.81
117,"Coffee Substitute (cereal Grain Powder, With Water)",1 cup (240 ml),14,Vegetarian,Coffee,3.12,0.1,0.24
118,Coffee (instant),100 g,2,Vegetarian,Coffee,0.34,0.0,0.1
119,"Instant Coffee And Cocoa (mocha) With Whitener, Presweetened (mix, Dry Powder)","1 tsp, dry",16,Vegetarian,Coffee,2.52,0.54,0.18
120,Chai Latte,1 serving (25 g),106,Vegetarian,Coffee,19.5,2.4,1.7
121,Green Tea Latte,1 cup,178,Vegetarian,Coffee,26.15,5.86,5.8
122,Kit Kat Caramelized Hazelnut,100 g,519,Vegetarian,Coffee,57.0,28.1,7.8
123,"Coffee (cappuccino Flavor Powder, Instant, With Sugar)",1 serving 1 (57 g) envelope,231,Vegetarian,Coffee,48.99,3.17,1.77
124,Caffe Macchiato,1 espresso cup (60 ml),10,Vegetarian,Coffee,0.67,0.56,0.53
125,Iced Coffee Vanilla,1 bottle (300 ml),225,Vegetarian,Coffee,29.0,3.0,12.0
126,Mocha Chocca,1 serving,173,Vegetarian,Coffee,29.6,2.07,3.7
127,Buckwheat & Hazelnut Coffee Bar,100 g,356,Vegetarian,Coffee,51.0,17.7,11.5
128,Cappuccino Unsweetened,1 serving (12.5 g),60,Vegetarian,Coffee,6.0,3.0,1.9
129,Cooked Lentils,1 cup,323,Vegetarian,Dal,36.71,13.25,16.44
130,Lentils,100 g,353,Vegetarian,Dal,60.08,1.06,25.8
131,Arhar Dal,1 serving (110 g),206,Vegetarian,Dal,32.73,3.39,12.56
132,Dal Palak,100 g,116,Vegetarian,Dal,16.84,3.03,6.53
133,Dal Makhani,100 g,181,Vegetarian,Dal,20.49,8.77,6.78
134,Dal Vada,1 piece,92,Vegetarian,Dal,6.44,6.69,1.98
135,Moong Dal,1 cup,234,Vegetarian,Dal,40.44,1.4,16.16
136,Dal Paratha,1 piece,151,Vegetarian,Dal,21.41,5.53,3.54
137,Masoor Dal,1 cup,347,Vegetarian,Dal,55.99,6.16,18.89
138,Dal,1 cup,198,Vegetarian,Dal,26.18,6.32,10.36
139,Dal Dhokli,1 serving (150 g),330,Vegetarian,Dal,52.38,8.7,12.29
140,Chana Dal,100 g,160,Vegetarian,Dal,26.49,2.14,9.98
141,Moong Dal Chilla,1 piece,144,Vegetarian,Dal,22.41,3.21,7.86
142,"Lentils (mature Seeds, With Salt, Cooked, Boiled)",1 cup,230,Vegetarian,Dal,39.86,0.75,17.86
143,Daliya,100 g,152,Vegetarian,Dal,27.7,3.41,5.03
144,Curry Dhal Soup,100 g,82,Vegetarian,Dal,8.0,2.8,3.8
145,Toor Dal,1 cup,296,Vegetarian,Dal,45.35,8.34,14.23
146,Paneer Dosa,1 piece,174,Vegetarian,Dosa,28.43,4.61,7.07
147,Plain Dosa,1 dosa,106,Vegetarian,Dosa,21.24,1.04,2.51
148,Rava Dosa,1 piece,143,Vegetarian,Dosa,22.95,4.47,3.63
149,Masala Dosa,1 dosa,160,Vegetarian,Dosa,23.24,6.21,3.19
150,Moong Dal Dosa,1 piece,109,Vegetarian,Dosa,18.46,2.11,4.49
151,Neer Dosa,1 piece,76,Vegetarian,Dosa,16.33,0.33,1.36
152,Ragi Dosa,1 piece,137,Vegetarian,Dosa,23.94,3.22,3.95
153,Wheat Dosa,1 piece,107,Vegetarian,Dosa,20.58,1.14,3.42
154,"Scrambled Egg (whole, Cooked)",1 large,101,Non Vegetarian,Egg,1.34,7.45,6.76
155,Boiled Egg,1 large,77,Non Vegetarian,Egg,0.56,5.28,6.26
156,Scrambled Egg,2 eggs,199,Non Vegetarian,Egg,1.96,15.21,13.01
157,Soft Boiled Egg,1 medium,68,Non Vegetarian,Egg,0.49,4.65,5.51
158,Fried Egg With Fat,1 large,89,Non Vegetarian,Egg,0.43,6.76,6.24
159,Egg (whole),1 large,74,Non Vegetarian,Egg,0.38,4.97,6.29
160,Egg Omelette Or Scrambled Egg With Cheese,1 large,140,Non Vegetarian,Egg,2.23,10.37,9.15
161,Egg Bhurji,1 cup,198,Non Vegetarian,Egg,15.18,12.05,9.01
162,Poached Egg (with Salt),1 medium,64,Non Vegetarian,Egg,0.34,4.36,5.51
163,Egg Omelette Or Scrambled Egg With Cheese And Ham Or Bacon,1 large,152,Non Vegetarian,Egg,1.97,11.15,10.63
164,"Egg Omelette Or Scrambled Egg With Chilli, Cheese, Tomatoes And Beans",1 large,155,Non Vegetarian,Egg,3.75,10.89,10.2
165,Egg Muffin,1 medium,198,Non Vegetarian,Egg,1.5,14.31,15.11
166,Fried Egg Without Fat,1 large,73,Non Vegetarian,Egg,0.38,4.93,6.24
167,Egg White,1 large,17,Non Vegetarian,Egg,0.24,0.06,3.6
168,Baked Egg (fat Not Added In Cooking),1 large,73,Non Vegetarian,Egg,0.38,4.95,6.26
169,Creamed Egg,1 extra large,229,Non Vegetarian,Egg,8.54,16.22,11.8
170,Cooked Egg,1 small,62,Non Vegetarian,Egg,0.47,4.52,4.55
171,Eggs Benedict,1 large,428,Non Vegetarian,Egg,12.9,33.48,18.54
172,Poached Egg,1 large,74,Non Vegetarian,Egg,0.38,4.95,6.26
173,Fried Egg,1 large,92,Non Vegetarian,Egg,0.4,7.04,6.27
174,Egg Puff,1 puff,394,Non Vegetarian,Egg,31.12,26.5,8.4
175,Egg Omelette Or Scrambled Egg (fat Not Added In Cooking),1 large,78,Non Vegetarian,Egg,1.25,5.02,6.49
176,Egg,1 large,74,Non Vegetarian,Egg,0.38,4.97,6.29
177,Egg Substitute (powder),100 g,444,Non Vegetarian,Egg,21.8,13.0,55.5
178,Egg Omelette Or Scrambled Egg (fat Added In Cooking),1 large,94,Non Vegetarian,Egg,1.3,6.74,6.49
179,Turkey Egg,1 egg,135,Non Vegetarian,Egg,0.91,2.87,10.81
180,Egg Omelette Or Scrambled Egg With Sausage And Mushrooms,1 extra large,155,Non Vegetarian,Egg,1.84,11.51,10.26
181,Egg Salad,1 cup,706,Non Vegetarian,Egg,4.28,67.18,20.42
182,Egg Omelette,1 large,93,Non Vegetarian,Egg,0.42,7.33,6.48
183,"Egg, Cheese And Beef On English Muffin",1 sandwich (148 g),422,Non Vegetarian,Egg,31.77,22.61,22.05
184,Quail Egg,1 egg,14,Non Vegetarian,Egg,0.04,1.0,1.17
185,Scrambled Egg Made From Dry Eggs,1 cup,454,Non Vegetarian,Egg,2.63,40.23,19.71
186,Egg Omelette Or Scrambled Egg With Vegetables,1 large,106,Non Vegetarian,Egg,2.38,7.34,7.22
187,"Egg Whole (dried, Powder, Glucose Reduced)",1 tbsp,53,Non Vegetarian,Egg,0.63,0.01,11.54
188,Egg Substitute (frozen Or Liquid),1 cup of cooked,254,Non Vegetarian,Egg,1.64,14.45,27.62
189,Egg Substitute (liquid),1 cup,211,Non Vegetarian,Egg,1.61,8.31,30.12
190,Goose Egg,1 egg,266,Non Vegetarian,Egg,1.94,19.11,19.97
191,Egg Yolk,1 large,55,Non Vegetarian,Egg,0.61,4.51,2.7
192,Egg Omelette Or Scrambled Egg With Sausage,1 medium,181,Non Vegetarian,Egg,1.29,14.26,11.13
193,Egg Whole (frozen),1 oz,42,Non Vegetarian,Egg,0.3,0.89,3.39
194,Egg Whole (dried),1 cup of sifted,505,Non Vegetarian,Egg,4.21,34.81,40.25
195,"Egg, Cheese And Ham On English Muffin",1 sandwich,307,Non Vegetarian,Egg,25.77,13.38,20.05
196,Fried Egg Sandwich,1 sandwich,226,Non Vegetarian,Egg,26.18,8.57,10.03
197,Egg Roll With Beef And/or Pork,1 egg roll,113,Non Vegetarian,Egg,9.16,6.2,5.0
198,Egg Omelette Or Scrambled Egg With Dark Green Vegetables,1 large,101,Non Vegetarian,Egg,2.18,7.01,7.12
199,Egg Yolk (dried),1 cup of sifted,446,Non Vegetarian,Egg,2.41,37.39,22.95
200,Egg White (frozen),100 g,47,Non Vegetarian,Egg,1.05,0.0,9.8
201,Scrambled Egg (liquid Mixture),1 cup of cooked (made from 15 tablespoons of uncooked liquid mixture),212,Non Vegetarian,Egg,4.05,10.98,22.85
202,"Egg, Cheese And Sausage On English Muffin",1 sandwich,466,Non Vegetarian,Egg,29.24,29.78,19.8
203,Meatless Egg Roll,1 egg roll,100,Non Vegetarian,Egg,9.73,5.8,2.6
204,"Egg, Cheese And Bacon On English Muffin",1 sandwich,382,Non Vegetarian,Egg,30.12,19.36,20.83
205,Canned Quail Egg,1 egg,14,Non Vegetarian,Egg,0.04,0.99,1.16
206,Egg White (dried),100 g,382,Non Vegetarian,Egg,7.8,0.0,81.1
207,"Egg Yolk (salted, Frozen)",100 g,274,Non Vegetarian,Egg,1.6,7.03,14.0
208,Egg Dosa,1 piece,186,Non Vegetarian,Egg,21.24,7.35,9.2
209,Baked Egg (fat Added In Cooking),1 large,127,Non Vegetarian,Egg,0.57,10.35,7.52
210,Egg Omelette Or Scrambled Egg With Beef,1 large,136,Non Vegetarian,Egg,2.24,9.42,9.91
211,Eggnog,1 cup,343,Non Vegetarian,Egg,34.39,19.0,9.68
212,Hard Boiled Egg,1 large,78,Non Vegetarian,Egg,0.56,5.3,6.29
213,Egg Omelette Or Scrambled Egg With Hot Dogs,1 large,177,Non Vegetarian,Egg,2.42,13.86,10.17
214,"Egg, Cheese And Steak On Bagel",1 sandwich,661,Non Vegetarian,Egg,57.97,30.28,37.98
215,Egg Omelette Or Scrambled Egg,1 large,98,Non Vegetarian,Egg,1.15,7.14,6.81
216,Cooked Egg Yolk,1 large,55,Non Vegetarian,Egg,0.61,4.49,2.69
217,Baked Egg,1 large,127,Non Vegetarian,Egg,0.57,10.35,7.52
218,"Egg Omelette Or Scrambled Egg With Cheese, Ham Or Bacon And Tomatoes",1 large,160,Non Vegetarian,Egg,3.02,11.43,11.09
219,Cooked Egg White,1 large,17,Non Vegetarian,Egg,0.24,0.06,3.58
220,"Egg Whole (dried, Flakes, Glucose Reduced)",100 g,351,Non Vegetarian,Egg,4.17,0.04,76.92
221,Egg Omelette Or Scrambled Egg With Chicken,1 large,117,Non Vegetarian,Egg,1.11,6.84,11.95
222,Egg Tart,1 tart,225,Non Vegetarian,Egg,22.23,13.46,3.8
223,"Egg, Cheese And Ham On Bagel",1 sandwich,597,Non Vegetarian,Egg,57.18,27.14,30.28
224,Ice Cream,1 cup,267,Vegetarian,Ice Cream,32.45,14.26,4.68
225,Vanilla Ice Creams,1/2 cup,145,Vegetarian,Ice Cream,16.99,7.92,2.52
226,Soft Serve Ice Cream,1 cup,384,Vegetarian,Ice Cream,38.41,22.49,7.09
227,Rich Chocolate Ice Cream,1 cup,377,Vegetarian,Ice Cream,30.71,25.13,6.99
228,Soft Serve Light Ice Cream Cone,1 small,296,Vegetarian,Ice Cream,43.54,11.05,7.03
229,Ice Cream Cone,1 cone and single dip (or 1 small cone),170,Vegetarian,Ice Cream,22.82,7.91,3.06
230,Ice Cream Sundae (with Whipped Cream),1 sundae,424,Vegetarian,Ice Cream,49.73,23.33,5.84
231,Ice Cream Bar Or Stick,1 bar (90 ml),113,Vegetarian,Ice Cream,13.22,6.16,1.96
232,Light Chocolate Ice Creams,100 g,199,Vegetarian,Ice Cream,29.04,7.19,5.0
233,Rich Vanilla Ice Creams,1/2 cup,266,Vegetarian,Ice Cream,23.85,17.33,3.74
234,French Vanilla Ice Creams (soft Serve),1/2 cup (120 ml),191,Vegetarian,Ice Cream,19.09,11.18,3.53
235,Thick Chocolate Covering Rich Chocolate Ice Cream Bar Or Stick,1 bar,282,Vegetarian,Ice Cream,28.45,18.91,3.58
236,Vanilla Ice Creams (fat Free),100 g,138,Vegetarian,Ice Cream,30.06,0.0,4.48
237,Ice Cream Sundae With Fruit Topping (with Whipped Cream),1 sundae,386,Vegetarian,Ice Cream,55.92,17.94,3.65
238,Light Vanilla Ice Creams (no Added Sugar),1 half cup serving,105,Vegetarian,Ice Cream,14.57,5.07,2.7
239,"Chocolate Coated Vanilla Ice Cream (light, No Sugar Added)",100 g,226,Vegetarian,Ice Cream,27.49,10.1,6.4
240,Ice Cream Cones (cake Or Wafer Type),1 cone,17,Vegetarian,Ice Cream,3.16,0.28,0.32
241,Chocolate Covered Or Dipped Ice Cream Cone (flavors Other Than Chocolate),1 cone and single dip,187,Vegetarian,Ice Cream,24.05,9.61,3.03
242,Rich Ice Cream (flavors Other Than Chocolate),1 cup,369,Vegetarian,Ice Cream,32.99,23.98,5.18
243,Light Vanilla Ice Creams,1 half cup serving,125,Vegetarian,Ice Cream,19.61,3.67,3.63
244,No Sugar Added Fat Free Chocolate Ice Cream,1 cup,153,Vegetarian,Ice Cream,34.85,2.62,6.12
245,Chocolate Ice Creams,1/2 cup (120 ml),143,Vegetarian,Ice Cream,18.61,7.26,2.51
246,Light Vanilla Ice Creams (soft Serve),1 half cup serving,111,Vegetarian,Ice Cream,19.18,2.29,4.31
247,Ice Cream Sundae With Topping (with Whipped Cream),1 sundae,403,Vegetarian,Ice Cream,59.4,18.89,3.63
248,Ice Cream Cone (flavors Other Than Chocolate),1 cone and single dip (or 1 small cone),166,Vegetarian,Ice Cream,20.88,8.4,2.93
249,Light Chocolate Ice Creams (no Added Sugar),1 half cup serving,109,Vegetarian,Ice Cream,18.29,4.13,2.55
250,Light Ice Cream Cone (flavors Other Than Chocolate),1 cone and single dip (or 1 small cone),115,Vegetarian,Ice Cream,20.44,2.29,4.02
251,Ice Cream Cone With Nuts (flavors Other Than Chocolate),1 cone,204,Vegetarian,Ice Cream,20.01,12.66,4.61
252,Thick Chocolate Covering Rich Ice Cream Bar Or Stick,1 bar,271,Vegetarian,Ice Cream,27.07,16.39,3.84
253,Chocolate Covered Or Dipped Chocolate Ice Cream Cone,1 cone,190,Vegetarian,Ice Cream,26.83,8.78,3.18
254,Light Ice Cream Cone,1 cone and single dip (or 1 small cone),122,Vegetarian,Ice Cream,21.89,2.45,3.81
255,Grilled Fish,1 fillet (16 cm x 7.5 cm x 1 cm),123,Non Vegetarian,Fish,0.31,1.33,25.53
256,Light & Crispy Lemon Fish,1 serving (83 g),148,Non Vegetarian,Fish,12.5,0.9,9.5
257,Fried Battered Fish,1 fillet (16 cm x 9 cm x 1 cm),267,Non Vegetarian,Fish,8.99,15.24,22.41
258,Crumbed Hake Portions,1 serving (125 g),146,Non Vegetarian,Fish,9.3,6.9,15.3
259,Steamed Fish,100 g,139,Non Vegetarian,Fish,0.0,2.9,26.34
260,Cooked Fish,1 fillet (16 cm x 7.5 cm x 1 cm),127,Non Vegetarian,Fish,0.0,1.38,26.33
261,Fried Fish,100 g,210,Non Vegetarian,Fish,7.81,11.36,18.29
262,Oven Crisp,100 g,185,Non Vegetarian,Fish,14.0,0.0,20.0
263,Baked Breaded Or Battered Fish,1 fillet (16 cm x 9 cm x 1 cm),268,Non Vegetarian,Fish,11.51,12.35,26.1
264,Hake Medallions,1 piece (80 g),53,Non Vegetarian,Fish,0.7,0.1,12.0
265,Yellowtail (fish) (mixed Species),1/2 fillet,273,Non Vegetarian,Fish,0.0,2.39,43.27
266,Baked Or Grilled Cod,1 fillet (15 cm x 6.5 cm x 1 cm),113,Non Vegetarian,Fish,0.38,3.34,19.45
267,Pilchards In Tomato Sauce,100 g,145,Non Vegetarian,Fish,0.6,6.8,20.95
268,Whiting (fish) (mixed Species),1 fillet,83,Non Vegetarian,Fish,0.0,1.21,16.85
269,Baked Or Grilled Tuna,100 g,153,Non Vegetarian,Fish,0.41,3.96,27.3
